"X","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","FirmSize","LogTobinsQ"
1,0.100654876524578,1.07,1.24707174035443,56.4182799298661,44.1959205103347,-1519.09208131934,0.72,0.54,0.57,0.79,0.71,0,1,1,5.37660711635587,0.017548117724943,366058743096.95,1.00869990729994,0.0402619842881623,2013,1,24.7905647424602,0.0676586484738149
2,0.194432137954259,1.03,1.58222925202078,58.7503997539525,-128.096411355122,1188.42668384013,0.11,0,0.08,0.04,0.52,0,1,1,4.65618575930575,0.205235854393702,-768398326313.198,0.314711639070007,-0.042838934246975,2014,1,22.360498493417,0.0295588022415444
3,0.0617175256851307,1.54,0.231038833079122,2.03800435402774,44.3237864948863,2218.34573764217,0.11,0.01,0.09,0.06,0.55,0,1,1,3.1463641462334,0.903495319067491,240928307875.756,1.68092636605572,0.0388677431258822,2015,1,24.2335294508193,0.431782416425538
4,-0.0616,0.36,0.170722521964764,5.97992717704844,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,1.01734205871303,0.227652485920029,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,24.4675326931399,-1.02165124753198
5,0.0653,-1.42288009687923,0.9952,5.93,-105.972893233541,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,24.5022373345869,0.449664478760209
6,0.1587,-0.223643242246209,0.671830815859487,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,24.6030755200099,0.481780140436728
7,0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,22.4397222098879,0.350656871613169
8,0.0271756005233314,1.53,0.382172963240307,26.9599818874186,112.618230995609,1946.53657588335,0,0,0,0,0.1,0,0,0,3.32334951384168,0.122315136384061,238720161357.448,1.94587936650084,0.081231116123042,2014,3,24.5409358494365,0.425267735404344
9,0.0769360341495044,1.63,0.498525587665055,28.1693104729078,-6.01043393705621,-12692.5798496757,0.06,0,0,0,0.16,0,0,0,1.7098833008272,0.23349783805881,122658656611.563,0.100695664640629,-0.0755768442571862,2015,3,23.9817784371713,0.488580014818671
10,0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,26.1401836827305,0.779324876800998
11,0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,26.2912056786902,0.932164081030445
12,0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,26.4044072597882,0.774727167552368
13,0.0021558148123665,-0.654715738461029,0.414991570666569,22.02,36.4195165614061,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,24.0973660507242,-1.0242622118771
14,0.0624,3.83033592160107,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,24.0391594736941,1.59161933541245
15,0.1092,-0.258746727419849,0.810442774201792,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,24.6945007020064,0.195297598999917
16,0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,23.7087505329738,-0.083381608939051
17,0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,23.9383310506493,-0.105360515657826
18,0.014,0.96,0.2915,31.92,61.2206014271303,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,24.1493444963274,-0.0408219945202552
19,0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,24.4833723315986,0.207014169384326
20,0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,24.4435228267526,0.506817602368452
21,0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,24.4428442198096,0.488580014818671
22,0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,21.2431608095554,0.524728528934982
23,0.039,1.7,0.1297,4.24,31.84,5.02,0.03,0.07,0.03,0.01,0.52,1,1,1,1.3839,0.0665,1850700000,0.743221605521034,0.0367951634510975,2014,8,21.338829782848,0.53062825106217
24,0.047,1.71,0.1407,4.48,31.04,5.5,0.04,0.09,0.01,0.05,0.57,1,1,1,1.2886,0.0817,1990212000,1.45288905135402,-0.0630325085882382,2015,8,21.4115070026719,0.536493370514568
25,0.116669972819554,2.62,0.679805823287832,18.1652302331849,8.98470444897282,-424.003157682399,0.87,0.99,0.92,0.83,0.84,1,1,1,3.12711149422277,0.114611233009003,290434443508.156,0.550999847598482,0.0376753471009873,2013,9,23.2472114028945,0.963174317773006
26,0.103888967437659,3.2,0.655654456886583,38.3672156682139,60.7272805610446,5874.88102722918,0.09,0.12,0.09,0.13,0.83,1,1,1,3.59925428594359,0.255457665482806,-422229766876.773,1.96526093531432,-0.0122108921118647,2014,9,21.3024746558244,1.16315080980568
27,0.168149871020021,3.82,1.64835957167607,87.7245771949413,39.9072688806463,1391.17004442502,0.08,0.08,0.03,0.06,0.62,1,1,1,4.63343183477307,0.335855923638831,48030676633.1965,0.973483730024112,0.0477791915343898,2015,9,23.4213793366456,1.34025042261848
28,-0.0158904136247816,1.77,-0.178222254950475,-7.32132764662553,81.0864649745829,263.087492969928,0.48,0.59,0.3,0.55,0.56,1,0,1,1.07663997117882,-0.248213433514706,410956008628.386,1.31523601875755,0.0246039468929499,2013,10,24.5728596495398,0.570979546585738
29,0.155677094932128,1.95,0.584590361789755,11.2951346640755,56.8421570894152,-3484.01854793112,0.08,0.07,0.04,0.08,0.51,1,0,1,2.8679698385915,0.028241781776775,47550710214.8474,1.54411687971311,0.0236277206132968,2014,10,24.2909535821352,0.667829372575655
30,0.0633650343294332,2.31,-0.0618889167684411,-5.27520086256015,96.3392475368706,2413.43254280933,0.09,0.07,0.05,0.09,0.53,1,0,1,-0.412006728618868,-0.351252013197446,-316488323617.343,1.10791875763138,-0.0775545470087128,2015,10,23.040341075269,0.837247524533702
31,0.0318,0.48,0.0691,1.35,17.94,30.61,0.09,0.55,0,0.06,0.19,1,0,0,0.2653,0.0149,4.3752e+10,0.664424226349584,0.0566792627988099,2013,11,24.5018031629909,-0.7339691750802
32,0.0538,0.64,0.1124,1.52,16.42,30.86,0.01,0.07,0,0.02,0.33,1,1,0,0.2839,0.0277,4.4027e+10,0.823355470888378,-0.0124982423959382,2014,11,24.5080689190305,-0.446287102628419
33,0.0453,0.48,0.1013,1.35,14.09,30.14,0.02,0.06,0,0.01,0.32,1,1,0,0.3229,0.0273,4.0157e+10,1.18451195431639,0.0307973521119467,2015,11,24.4160626083444,-0.7339691750802
34,0.0404,0.97,0.2246,5.98,26.14,12.99,0.38,0.61,0,0.47,0.47,1,0,0,0.002,0.1205,38321800000,0.634522853152042,-0.00114165492930315,2013,12,24.369284761806,-0.0304592074847086
35,0.0404,0.86,0.2336,6.49,25.58,11.56,0.07,0,0,0,0.28,1,0,0,0.0019,0.1237,43503100000,0.808633188727693,-0.0206149652702033,2014,12,24.4960980368697,-0.150822889734584
36,0.0416,0.94,0.3196,8.44,26.8,9.19,0.07,0,0,0,0.28,1,0,0,0.4743,0.134,39899500000,0.774137608943962,0.00484322286178353,2015,12,24.4096296294354,-0.0618754037180875
37,0.0405,1.03,0.721,16.23,34.3,16.09,0,0,0,0,0,0,0,0,2.8463,0.1149,13244257000,1.10948588934073,0.0506996133497674,2013,13,23.3068298614567,0.0295588022415444
38,0.0325,0.93,0.3768,14.39,29.78,38.16,0.08,0,0,0,0.24,0,0,0,1.6696,0.0955,20263977000,2.87023927169194,0.002351492901365,2014,13,23.7321106146274,-0.0725706928348354
39,0.0298,0.76,0.3048,8.79,37.99,33.92,0.05,0,0,0,0.21,0,0,0,2.3347,0.0926,22421830000,0.683931316723512,-0.0217542016776856,2015,13,23.8333008748098,-0.27443684570176
40,0.0636631127353376,1.88,-0.684212249124981,-57.0353075303656,36.6161184665031,1394.63218367338,0.94,0.3,0.62,0.63,0.62,0,0,1,-1.53228336055648,0.276191843692691,158982398429.392,1.53911665487784,0.0629507642441825,2013,14,24.702455950381,0.631271776841858
41,0.16995077290066,2.65,1.1904686531927,53.5313858215403,58.5101642033877,197.237064079043,0.14,0,0.03,0.1,0.66,1,1,1,3.84874022108747,0.152175197884335,133965441233.059,0.852545881652775,-0.0312787783108992,2014,14,22.9191117558208,0.974559639998131
42,0.0990757582845061,2.4,1.90515168757277,94.4801038914004,38.4396152428679,3401.30339030913,0.14,0,0.05,0.14,0.71,1,1,1,9.67347863126519,-0.348422425581781,624363915075.523,2.46201611605167,0.0124840449048706,2015,14,24.1151365616342,0.8754687373539
43,0.0132,0.7,0.0457,1.35,-74.958309740964,26.39,0.03,0,0,0.52,0.29,1,1,0,0.8597,0.0495,2.1042e+10,0.827504185925556,-0.00360544041374561,2013,15,23.7697862773325,-0.356674943938732
44,0.0268,0.8,0.0901,1.58,18.31,27.08,0.01,0,0,0.09,0.37,1,1,0,0.9314,0.0968,2.2676e+10,0.792918762105364,0.0777002692359426,2014,15,23.8445729334085,-0.22314355131421
45,0.0271,0.74,0.0948,1.52,16.11,26.87,0.01,0.01,0,0.07,0.36,1,1,0,1.0552,0.1033,2.364e+10,0.0147599651643252,-0.00211068566870568,2015,15,23.8862060294843,-0.301105092783922
46,0.0268,0.73,0.0943,1.41,19.2,32.98,0.02,0.03,0,0.02,0.18,1,1,0,1.0462,0.0964,5.6414e+10,1.14701378487642,-0.0390543839133039,2013,16,24.7559831915976,-0.3147107448397
