"","Ticker","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Year","Date","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio"
"1929","DISCA",119,"Consumer Discretionary",1,"DISCA_quarterly_financial_data.xls","discovery communications","discovery communications inc","discovery communications inc","2015","2015-12-31",409799430,409799430,1,"1.5864e+10","2.596e+09","1.0172e+10","1.579e+09","5.451e+09",2.41e+08,0,9.894e+09,7.616e+09,"1646000000","219000000","219000000","0.33","0.34",0,"625000000","-275000000","-203000000","128000000","3.9e+08",2.7e+07,"28.25","31.14","25.36","0.1891","0.0653","13.3","2.15","24.35",0,"0","1.3972","0.3436","0.1617","0.4","1.46","1.6441"
"1931","DISCA",119,"Consumer Discretionary",1,"DISCA_quarterly_financial_data.xls","discovery communications","discovery communications inc","discovery communications inc","2013","2013-12-31",234113176,468226352,2,"1.4979e+10","2.41e+09","8.746e+09","1.294e+09","6.196e+09",3.7e+07,0,8.906e+09,6.482e+09,"1537000000","289000000","290000000","0.82","0.81",0,"355000000","-46000000","-339000000","-31000000","4.08e+08",3.9e+07,"42.1","45.23","38.97","0.1722","0.0729","13.23","3.22","30.51",0,"0","1.0462","0.4136","0.1939","0.38","0.67","1.8624"
"1932","DISCA",119,"Consumer Discretionary",1,"DISCA_quarterly_financial_data.xls","discovery communications","discovery communications inc","discovery communications inc","2014","2014-12-31",439252244,439252244,1,"1.6014e+10","2.491e+09","9.663e+09","2.604e+09","5.602e+09",7.49e+08,0,1.0207e+10,6.046e+09,"1676000000","250000000","250000000","-0.08","-0.08",0,"425000000","-39000000","-365000000","-9000000","3.67e+08",3.5e+07,"34.55","37.24","31.86","0.1919","0.0714","12.75","2.6","20.44",0,"0","1.0793","0.3498","0.1815","0.39","0.89","0.9566"
"1934","DISH ",120,"Consumer Discretionary",1,"DISH_quarterly_financial_data.xls","dish network","dish network corporation","dish network corp","2012","2012-12-31",452957903,452957903,1,"17379608000","9059153000","17307980000","3924467000","36867000",34761000,0,3470101000,11350399000,"3589510000","203347000","209106000","0.45","0.46",1,"-22167000","-528060000","1068788000","518501000","3606140000",275641000,"33.98","37.68","30.29","None","0.0412","0.08","141.58","20.47",13.05,"0.7114","307.8742","0.0021","0.0446","0.94","-0.66","2.3084"
"1939","DISH ",120,"Consumer Discretionary",1,"DISH_quarterly_financial_data.xls","dish network","dish network corporation","dish network corp","2017","2017-12-31",466475690,466475690,1,"29773766000","3285023000","22452470000","4828004000","6937414000",383882000,0,23878943000,15134441000,"3483928000","1401305000","1385483000","2.96","2.39",0,"552424000","-474372000","-181394000","-103342000","1479508000",107690000,"50.41","54.32","46.49","0.3668","0.073","14.87","4.24","23.78",13.05,"0","2.1816","0.233","0.1458","0.49","0.95","0.6804"
"1944","DISH ",120,"Consumer Discretionary",1,"DISH_quarterly_financial_data.xls","dish network","dish network corporation","dish network corp","2015","2015-12-31",464200232,464200232,1,"22886710000","3543243000","19854680000","5162940000","2748787000",283243000,0,15689562000,12221925000,"3778683000","-118912000","-125295000","-0.27","-0.27",0,"206043000","-417063000","19797000","-191223000","1053158000",8938781000,"61.11","65.07","57.16","0.2829","0.0336","5.92","9.9","22.06",13.05,"0","4.4463","0.1201","0.0496","0.66","-18.81","0.6863"
"1946","DISH ",120,"Consumer Discretionary",1,"DISH_quarterly_financial_data.xls","dish network","dish network corporation","dish network corp","2013","2013-12-31",458343035,458343035,1,"20375628000","12313446000","19378623000","4551649000","977080000",19925000,0,3332513000,12615991000,"3141931000","283154000","288038000","0.62","0.62",0,"640149000","-278191000","-446372000","-84271000","4709182000",340595000,"51.8","57.92","45.68","None","0.0403","2.13","33.86","32.58",13.05,"0","12.9119","0.048","0.0581","0.71","0.65","2.7053"
"1948","DISH ",120,"Consumer Discretionary",1,"DISH_quarterly_financial_data.xls","dish network","dish network corporation","dish network corp","2014","2014-12-31",461829689,461829689,1,"22107462000","12577734000","20053830000","4112525000","2013009000",40623000,0,4984996000,13782313000,"3681719000","407921000","409930000","0.89","0.89",0,"621451000","599787000","1132702000","2353940000","7104496000",1641777000,"68.69","79.41","57.96","0.6181","0.0439","4.36","20.5","38.81",13.05,"0","6.8466","0.0911","0.0645","0.69","-2.21","3.0584"
"1953","DISH ",120,"Consumer Discretionary",1,"DISH_quarterly_financial_data.xls","dish network","dish network corporation","dish network corp","2016","2016-12-31",465353690,465353690,1,"28091847000","8283054000","23126320000","4527985000","4637119000",328408000,0,16643740000,15541320000,"3724180000","343981000","342673000","0.74","0.7",0,"649762000","-107716000","-2621000","539425000","5323725000",119562000,"56.95","59.93","53.97","0.3724","0.0576","9.96","6.17","27.25",13.05,"0","3.3515","0.1651","0.0961","0.59","1.14","1.8293"
"1964","DOV",122,"Industrials",6,"DOV_quarterly_financial_data.xls","dover","dover corporation","dover corp","2016","2016-12-31",155502313,155502313,1,"10115991000","2589191000","6316245000","1940318000","3799746000",0,0,6365600000,3206637000,"1777961000","161162000","161162000","1.04","1.05",0.44,"289029000","-942461000","484288000","-165609000","349146000",41659000,"71.33","77.13","65.53","0.1357","0.0545","24.44","2.92","22.72",33.28,"0.5249","0.8439","0.3756","0.0749","0.73","1.59","1.3344"
"1971","DOV",122,"Industrials",6,"DOV_quarterly_financial_data.xls","dover","dover corporation","dover corp","2015","2015-12-31",155009407,155009407,1,"8619763000","2420779000","4975188000","1367182000","3644575000",0,0,5150612000,2617342000,"1694600000","141825000","141825000","0.91","0.91",0.42,"294346000","-615584000","19080000","-300488000","362185000",37839000,"61.54","66.57","56.51","0.2419","0.1017","23.51","2.67","11.09",31.56,"0.2954","0.7181","0.4228","0.125","0.81","1.65","1.7706"
"1972","DOV",122,"Industrials",6,"DOV_quarterly_financial_data.xls","dover","dover corporation","dover corp","2014","2014-12-31",163045137,163045137,1,"9090385000","2896822000","5389660000","2039354000","3700725000",0,0,4861077000,2253041000,"1727876000","169294000","169294000","1.02","1.01",0.4,"425060000","-476924000","49020000","-24653000","681581000",49074000,"75.26","82.76","67.76","0.2031","0.0873","22.7","3.17","16.05",29.92,"3.4446","0.6088","0.4071","0.1","0.87","2.31","1.4205"
"1982","DOV",122,"Industrials",6,"DOV_quarterly_financial_data.xls","dover","dover corporation","dover corp","2013","2013-12-31",170017999,170017999,1,"10838172000","3240162000","5460776000","1615580000","5377396000",0,0,5855396000,2599201000,"2209128000","193963000","193963000","1.14","1.11",0.38,"422961000","-201810000","-154707000","64058000","803882000",63744000,"91.05","97","85.1","0.1966","0.0953","31.63","2.94","16.35",13.87,"0.2473","0.4834","0.4962","0.1149","0.83","2.11","2.0056"
"1983","DOV",122,"Industrials",6,"DOV_quarterly_financial_data.xls","dover","dover corporation","dover corp","2017","2017-12-31",154424436,154424436,1,"10657653000","3207120000","6274473000","2298193000","4383180000",0,0,6201839000,2986702000,"2017438000","296448000","296448000","1.9","1.88",0.47,"319594000","201158000","-87539000","431925000","753964000",39870000,"95.47","101.44","89.5","0.1946","0.0779","28.38","3.48","22.1",35.1,"0.3484","0.6814","0.4113","0.1037","0.75","1.81","1.3955"
"1987","DOV",122,"Industrials",6,"DOV_quarterly_financial_data.xls","dover","dover corporation","dover corp","2012","2012-12-31",174679432,174679432,1,"10443943000","3027844000","5524713000","1986628000","4919230000",0,0,5740070000,2189350000,"1675768000","159860000","159860000","0.89","0.9",0.35,"584715000","-779922000","192304000","5977000","800076000",79250000,"60.35","65.8","54.9","0.1596","0.0814","28.16","2.07","12.09",12.42,"0.2949","0.4451","0.471","0.1001","0.81","2.89","1.5241"
"1989","DOW",123,"Materials",8,"DOW_quarterly_financial_data.xls","dow chemical","the dow chemical company","dow chemical co","2017","2017-12-31",2329023478,2329023478,1,"1.92164e+11","4.9893e+10","9.0237e+10","2.6128e+10","1.0033e+11",1.597e+09,0,9.2801e+10,3.0056e+10,"20066000000","-1263000000","-1273000000","-0.54","-0.54",0.38,"4226000000","1140000000","-5244000000","290000000","1.3438e+10",1.477e+09,"70.92","73.85","68","0.0224","0.0105","43.08","1.61","33.93",29.34,"2.1328","0.2996","0.5221","0.0232","0.45","1.18","1.9096"
"1990","DOW",123,"Materials",8,"DOW_quarterly_financial_data.xls","dow chemical","the dow chemical company","dow chemical co","2016","2016-12-31",1123496434,1123496434,1,"7.9511e+10","2.3659e+10","5.2282e+10","1.2604e+10","2.5987e+10",1.242e+09,0,2.1298e+10,2.1091e+10,"13020000000","52000000","-33000000","-0.02","-0.02",0.46,"1863000000","-981000000","-1204000000","-425000000","6.607e+09",9.59e+08,"55.47","59.33","51.6","0.1631","0.0557","23.13","2.48","8.76",27.58,"0.5197","0.8116","0.3268","0.0826","0.62","0.8","1.8771"
"1995","DOW",123,"Materials",8,"DOW_quarterly_financial_data.xls","dow chemical","the dow chemical company","dow chemical co","2014","2014-12-31",1194093171,1194093171,1,"6.8796e+10","2.4267e+10","4.524e+10","1.1593e+10","2.2423e+10",1.133e+09,4e+09,1.64e+10,1.8838e+10,"14384000000","819000000","734000000","0.65","0.64",0.42,"2757000000","-1206000000","-1626000000","-114000000","5.654e+09",1.106e+09,"47.63","53.8","41.45","0.1603","0.0546","15.43","2.58","15.67",24.02,"0.5317","1.0225","0.2678","0.059","0.84","1.38","2.0932"
"2001","DOW",123,"Materials",8,"DOW_quarterly_financial_data.xls","dow chemical","the dow chemical company","dow chemical co","2013","2013-12-31",1210213904,1210213904,1,"6.9501e+10","2.4977e+10","4.1421e+10","1.1971e+10","2.6898e+10",1.182e+09,4e+09,1.7112e+10,1.682e+10,"14386000000","1048000000","963000000","0.8","0.81",0.32,"2233000000","-229000000","-1320000000","668000000","5.94e+09",8.84e+08,"41.52","44.99","38.04","0.2248","0.0686","18.92","2.52","18.79",22.49,"0.3485","0.7346","0.3295","0.0779","0.82","1.11","2.0865"
"2002","DOW",123,"Materials",8,"DOW_quarterly_financial_data.xls","dow chemical","the dow chemical company","dow chemical co","2015","2015-12-31",1154841365,1154841365,1,"6.8026e+10","2.4475e+10","4.1843e+10","1.1215e+10","2.5374e+10",8.09e+08,4e+09,1.5771e+10,1.6215e+10,"11462000000","3612000000","3527000000","3.17","2.94",0.46,"2341000000","-110000000","-1200000000","954000000","8.577e+09",8.92e+08,"49.63","57.1","42.15","0.3693","0.1118","18.51","2.83","12.79",25.74,"0.2707","0.7586","0.3142","0.1506","0.71","1.25","2.1823"
"2005","DOW",123,"Materials",8,"DOW_quarterly_financial_data.xls","dow chemical","the dow chemical company","dow chemical co","2012","2012-12-31",1193921926,1193921926,1,"6.9605e+10","2.3684e+10","4.7591e+10","1.1493e+10","2.0877e+10",1.137e+09,4e+09,1.745e+10,1.9919e+10,"13917000000","-631000000","-716000000","-0.61","-0.61",0.32,"1551000000","-943000000","-173000000","433000000","4.318e+09",1.009e+09,"30.2","32.95","27.45","0.045","0.017","14.14","1.83","23.41",21.21,"1.7198","1.1802","0.2425","0.0148","0.82","0.45","2.0607"
"2014","DPS",124,"Consumer Staples",2,"DPS_quarterly_financial_data.xls","dr pepper snapple group","dr pepper snapple group inc","dr pepper snapple group inc","2012","2012-12-31",203632429,203632429,1,"8.928e+09","1.335e+09","6.648e+09","1232000000","2.28e+09",0,0,5.667e+09,2.554e+09,"1484000000","170000000","170000000","0.82","0.81",0.34,"194000000","-49000000","-161000000","-17000000","366000000",4.9e+07,"44.25","45.91","42.6","0.2749","0.0707","11.2","3.97","15.15",3.62,"0.4509","1.1202","0.2554","0.1049","0.67","0.71","1.0836"
"2015","DPS",124,"Consumer Staples",2,"DPS_quarterly_financial_data.xls","dr pepper snapple group","dr pepper snapple group inc","dr pepper snapple group inc","2013","2013-12-31",197274122,197274122,1,"8.201e+09","1.119e+09","5.924e+09","1030000000","2.277e+09",0,0,5.682e+09,2.509e+09,"1463000000","156000000","156000000","0.78","0.77",0.38,"250000000","-67000000","-148000000","34000000","153000000",6.8e+07,"46.28","49.17","43.38","0.2734","0.0736","11.54","4.02","14.98",5.14,"0.4868","1.1019","0.2776","0.1041","0.71","0.92","1.0864"
"2017","DPS",124,"Consumer Staples",2,"DPS_quarterly_financial_data.xls","dr pepper snapple group","dr pepper snapple group inc","dr pepper snapple group inc","2017","2017-12-31",179744078,179744078,1,"1.0022e+10","1.117e+09","7.571e+09","1238000000","2.451e+09",0,0,7.342e+09,4.4e+09,"1643000000","508000000","508000000","2.82","2.82",0.58,"306000000","-120000000","-190000000","-7000000","158000000",1.18e+08,"90.53","97.84","83.23","0.4821","0.1066","13.64","7.68","22.69",13.14,"0.3912","1.7952","0.2446","0.1608","0.66","1.05","0.9023"
"2018","DPS",124,"Consumer Staples",2,"DPS_quarterly_financial_data.xls","dr pepper snapple group","dr pepper snapple group inc","dr pepper snapple group inc","2015","2015-12-31",187349988,187349988,1,"8.869e+09","1.817e+09","6.686e+09","1583000000","2.183e+09",0,0,5.651e+09,2.875e+09,"1546000000","185000000","185000000","0.97","0.97",0.48,"268000000","-99000000","534000000","704000000","911000000",1e+08,"86.64","95.26","78.01","0.3448","0.0909","11.65","7.45","23.04",8.7,"0.4768","1.317","0.2461","0.1216","0.75","0.9","1.1478"
"2020","DPS",124,"Consumer Staples",2,"DPS_quarterly_financial_data.xls","dr pepper snapple group","dr pepper snapple group inc","dr pepper snapple group inc","2014","2014-12-31",192962748,192962748,1,"8.273e+09","1.211e+09","5.979e+09","1038000000","2.294e+09",0,0,5.674e+09,2.591e+09,"1509000000","150000000","150000000","0.77","0.76",0.41,"253000000","-85000000","-194000000","-29000000","237000000",6.6e+07,"67.92","74","61.85","0.3073","0.0852","11.89","5.59","19.03",6.78,"0.4543","1.1295","0.2773","0.1149","0.74","0.97","1.1667"
"2021","DPS",124,"Consumer Staples",2,"DPS_quarterly_financial_data.xls","dr pepper snapple group","dr pepper snapple group inc","dr pepper snapple group inc","2016","2016-12-31",183094247,183094247,1,"9.791e+09","2.736e+09","7.657e+09","1051000000","2.134e+09",0,0,5.649e+09,4.468e+09,"1578000000","165000000","165000000","0.9","0.9",0.53,"256000000","-70000000","984000000","1167000000","1787000000",6.9e+07,"86.09","91.14","81.05","0.3983","0.0962","11.66","7.43","18.67",10.82,"0.4618","2.0937","0.218","0.1315","0.73","1.02","2.6032"
"2022","DTE",125,"Utilities",11,"DTE_quarterly_financial_data.xls","dte energy","dte energy company","dte energy co","2016","2016-12-31",179432999,179432999,1,"3.2041e+10","2.762e+09","2.2542e+10","2.437e+09","9.011e+09",4.88e+08,0,3.128e+09,1.1269e+10,"2874000000","131000000","131000000","0.74","0.73",0.83,"317000000","-1885000000","1594000000","26000000","92000000",4.98e+08,"94.79","99.92","89.66","0.097","0.0292","50.22","1.86","20.92",47.18,"0.6326","1.2506","0.2812","0.0817","0.36","-1.01","1.1334"
"2024","DTE",125,"Utilities",11,"DTE_quarterly_financial_data.xls","dte energy","dte energy company","dte energy co","2014","2014-12-31",177229483,177229483,1,"2.7974e+10","3.087e+09","1.9632e+10","2.577e+09","8.327e+09",1.5e+07,0,2.129e+09,8.343e+09,"3078000000","299000000","299000000","1.69","1.68",0.68,"541000000","-603000000","50000000","-12000000","48000000",5.36e+08,"83.27","90.77","75.76","0.111","0.0339","46.98","1.8","20.26",41.28,"0.5263","1.0019","0.2977","0.0736","0.46","0.03","1.1979"
"2027","DTE",125,"Utilities",11,"DTE_quarterly_financial_data.xls","dte energy","dte energy company","dte energy co","2015","2015-12-31",179476008,179476008,1,"2.8737e+10","2.575e+09","1.9942e+10","2.528e+09","8.772e+09",2.3e+07,0,2.112e+09,8.835e+09,"2487000000","80000000","80000000","0.45","0.44",0.73,"443000000","-632000000","159000000","-30000000","37000000",5e+08,"81.35","85.36","77.35","0.0836","0.0256","48.88","1.66","15.38",44.12,"0.701","1.0072","0.3053","0.0703","0.36","-0.32","1.0186"
"2030","DTE",125,"Utilities",11,"DTE_quarterly_financial_data.xls","dte energy","dte energy company","dte energy co","2012","2012-12-31",172545941,172545941,1,"2.6339e+10","2.915e+09","1.8928e+10","2.768e+09","7.373e+09",3.8e+07,0,2.153e+09,7.014e+09,"2311000000","81000000","81000000","0.47","0.48",0.62,"480000000","-585000000","111000000","6000000","65000000",3.25e+08,"60.34","62.49","58.2","0.0841","0.0234","42.73","1.41","15.24",36,"0.6809","0.9513","0.2799","0.0694","0.34","0.9","1.0531"
"2032","DTE",125,"Utilities",11,"DTE_quarterly_financial_data.xls","dte energy","dte energy company","dte energy co","2013","2013-12-31",177086236,177086236,1,"2.5935e+10","2.806e+09","1.7981e+10","3.189e+09","7.921e+09",3.3e+07,0,2.152e+09,7.214e+09,"2533000000","124000000","124000000","0.69","0.69",0.65,"439000000","-569000000","111000000","-19000000","52000000",4.89e+08,"67.55","70.64","64.45","0.0854","0.0254","44.73","1.52","19.03",38.59,"0.6885","0.9107","0.3054","0.0684","0.37","-0.28","0.8799"
"2034","DTE",125,"Utilities",11,"DTE_quarterly_financial_data.xls","dte energy","dte energy company","dte energy co","2017","2017-12-31",179385962,179385962,1,"3.3767e+10","3.081e+09","2.3777e+10","2.812e+09","9.512e+09",4.78e+08,0,3.16e+09,1.2185e+10,"3271000000","287000000","287000000","1.59","1.59",0.89,"567000000","-760000000","196000000","3000000","66000000",4.71e+08,"111.47","116.74","106.21","0.1218","0.0345","53.03","2.13","20.42",50.54,"0.5333","1.281","0.2817","0.0898","0.38","0.54","1.0957"
"2047","DUK",126,"Utilities",11,"DUK_quarterly_financial_data.xls","duke energy","duke energy corporation","duke energy corp","2016","2016-12-31",699607929,699607929,1,"1.32761e+11","8.039e+09","9.172e+10","1.1551e+10","4.1033e+10",8e+06,0,1.9651e+10,4.5576e+10,"4.816e+09","-227000000","-227000000","-0.33","-0.33",0.85,"None","None","None","-5.313e+09","3.92e+08",1.247e+09,"76.41","80.49","72.34","0.0534","0.017","58.65","1.3","18.41",72.7,"1.0783","1.1107","0.3091","0.0946","0.18","None","0.696"
"2050","DUK",126,"Utilities",11,"DUK_quarterly_financial_data.xls","duke energy","duke energy corporation","duke energy corp","2017","2017-12-31",700092667,700092667,1,"1.37914e+11","8.453e+09","9.6177e+10","1.2482e+10","4.1739e+10",-2e+06,0,1.9626e+10,4.9035e+10,"1.4158e+10","703000000","703000000","1","1",0.89,"1623000000","-2090000000","543000000","7.6e+07","3.58e+08",2.211e+09,"87.66","91.8","83.52","0.0738","0.0225","59.62","1.47","28.93",76.19,"0.7986","1.1748","0.3026","0.1298","0.17","-0.84","0.6772"
"2051","DUK",126,"Utilities",11,"DUK_quarterly_financial_data.xls","duke energy","duke energy corporation","duke energy corp","2013","2013-12-31",706455305,706455305,1,"1.14779e+11","1.0516e+10","7.3371e+10","8.644e+09","4.133e+10",7.8e+07,0,1.6718e+10,3.8152e+10,"6.112e+09","688000000","688000000","0.98","0.97",0.78,"1392000000","-1412000000","-645000000","-6.65e+08","1.501e+09",1.454e+09,"69.79","73.53","66.05","0.0652","0.0233","58.5","1.2","20.53",62.95,"0.8186","0.9231","0.3601","0.1083","0.22","-0.09","1.2166"
"2053","DUK",126,"Utilities",11,"DUK_quarterly_financial_data.xls","duke energy","duke energy corporation","duke energy corp","2012","2012-12-31",704653826,704653826,1,"1.13856e+11","1.0122e+10","7.2915e+10","1.0029e+10","4.0863e+10",7.8e+07,0,1.6737e+10,3.6351e+10,"5.695e+09","435000000","436000000","0.61","0.61",0.76,"1265000000","-2208000000","606000000","-3.37e+08","1.424e+09",1.685e+09,"62.77","65.9","59.63","0.0557","0.0202","57.99","1.08","19.86",59.86,"1.0949","0.8896","0.3589","0.0901","0.22","-0.6","1.0093"
"2054","DUK",126,"Utilities",11,"DUK_quarterly_financial_data.xls","duke energy","duke energy corporation","duke energy corp","2014","2014-12-31",707554168,707554168,1,"1.20709e+11","1.1575e+10","7.981e+10","1.1233e+10","4.0875e+10",2.4e+07,0,1.6584e+10,3.7213e+10,"4.957e+09","97000000","97000000","0.14","0.14",0.79,"1419000000","-1639000000","325000000","1.05e+08","2.036e+09",1.622e+09,"80.81","87.29","74.33","0.046","0.016","57.77","1.38","23.15",66.1,"1.1814","0.9104","0.3386","0.0787","0.2","-0.29","1.0304"
"2056","DUK",126,"Utilities",11,"DUK_quarterly_financial_data.xls","duke energy","duke energy corporation","duke energy corp","2015","2015-12-31",688377923,688377923,1,"1.21156e+11","8.322e+09","8.1385e+10","1.14e+10","3.9727e+10",4.4e+07,0,1.6628e+10,3.7495e+10,"5.322e+09","477000000","477000000","0.7","0.7",0.83,"1280000000","-1986000000","193000000","-5.13e+08","8.57e+08",2.072e+09,"70.4","75.29","65.5","0.0703","0.0233","57.71","1.22","20.17",69.34,"0.7941","0.9438","0.3279","0.12","0.19","-1.15","0.73"
"2060","DVA",127,"Health Care",5,"DVA_quarterly_financial_data.xls","davita healthcare partners","davita healthcare partners inc","davita healthcare partners inc","2014","2014-12-31",215800000,215800000,1,"17942715000","3876797000","11752439000","2088652000","5170513000",1019763000,0,11364793000,8383280000,"3328017000","208020000","208020000","0.97","0.95",0,"-69991000","-446544000","-45970000","-561794000","965241000",391493000,"75.05","78.07","72.03","0.1476","0.0405","23.96","3.24","22.34",0,"0","1.6214","0.2882","0.0565","0.72","-2.14","1.8561"
"2065","DVA",127,"Health Care",5,"DVA_quarterly_financial_data.xls","davita healthcare partners","davita healthcare partners inc","davita healthcare partners inc","2017","2017-12-31",1.82e+08,1.82e+08,1,"18948193000","8744358000","13050767000","3041177000","4690029000",1207397000,0,6724106000,9158018000,"2780913000","303396000","303396000","1.64","1.68",0,"342910000","-259498000","-236425000","-158208000","508234000",173085000,"62.72","72.93","52.51","0.1348","0.0346","25.77","2.4","24.22",0,"0","1.9527","0.2475","0.0465","0.74","0.93","2.8753"
"2066","DVA",127,"Health Care",5,"DVA_quarterly_financial_data.xls","davita healthcare partners","davita healthcare partners inc","davita healthcare partners inc","2012","2012-12-31",105500000,2.11e+08,2,"16018596000","2878794000","11509856000","2018174000","3763137000",745603000,0,11092747000,8326534000,"2426939000","155839000","155839000","1.55","1.51",0,"200235000","-4045693000","3997841000","151554000","533748000",169756000,"54.61","57.49","51.72","0.1957","0.0474","17.83","4.11","19.79",0,"0","2.2127","0.2349","0.0655","0.72","0.14","1.4264"
"2069","DVA",127,"Health Care",5,"DVA_quarterly_financial_data.xls","davita healthcare partners","davita healthcare partners inc","davita healthcare partners inc","2013","2013-12-31",213200000,213200000,1,"17098877000","3472278000","11796036000","2462049000","4432479000",870362000,0,11237347000,8141231000,"3063209000","212278000","212278000","1.01","0.98",0,"354187000","-299796000","-78768000","-24445000","946249000",218041000,"59.21","63.39","55.03","0.1524","0.0379","20.79","2.95","21.77",0,"0","1.8367","0.2592","0.0538","0.7","0.64","1.4103"
"2071","DVA",127,"Health Care",5,"DVA_quarterly_financial_data.xls","davita healthcare partners","davita healthcare partners inc","davita healthcare partners inc","2016","2016-12-31",194600000,194600000,1,"18741257000","3980228000","12918258000","2696445000","4648047000",1174952000,0,10935084000,8947327000,"3715742000","157726000","157726000","0.81","0.79",0,"482182000","55574000","-544005000","-309000","913187000",189052000,"60.97","67.44","54.5","0.1851","0.047","23.89","2.45","17.62",0,"0","1.925","0.248","0.0597","0.79","1.51","1.4761"
"2073","DVA",127,"Health Care",5,"DVA_quarterly_financial_data.xls","davita healthcare partners","davita healthcare partners inc","davita healthcare partners inc","2015","2015-12-31",215500000,215500000,1,"18514875000","4503280000","12566637000","2399138000","4870780000",1077458000,0,10981805000,9001308000,"3533589000","-6000000","-6000000","-0.03","-0.03",0,"436673000","268600000","-252849000","451697000","1499116000",226070000,"73.14","78.94","67.34","0.054","0.0144","22.6","3.09","33.1",0,"0","1.848","0.2631","0.0196","0.74","0.98","1.877"
"2080","DVN",128,"Energy",3,"DVN_quarterly_financial_data.xls","devon energy","devon energy corporation","devon energy corp","2013","2013-12-31",407400000,407400000,1,"4.2877e+10","8.005e+09","2.2378e+10","6.655e+09","2.0499e+10",0,0,5.858e+09,7.956e+09,"2614000000","207000000","207000000","0.56","0.57",0.22,"1437000000","-1522000000","1850000000","1746000000","6.066e+09",1.436e+09,"62.25","66.92","57.58","-0.0014","-0.0005","50.32","1.23","None",6.16,"None","0.3881","0.4781","None","0.25","0","1.2029"
"2084","DVN",128,"Energy",3,"DVN_quarterly_financial_data.xls","devon energy","devon energy corporation","devon energy corp","2014","2014-12-31",411100000,411100000,1,"5.0637e+10","6.498e+09","2.4296e+10","5.935e+09","2.1539e+10",4.802e+09,0,6.303e+09,9.83e+09,"5995000000","-408000000","-404000000","-0.98","-0.98",0.24,"963000000","-2262000000","-615000000","-1928000000","1.48e+09",8.519e+09,"60.28","68.8","51.76","0.0742","0.0313","52.39","1.11","11.02",7.1,"0.242","0.4564","0.4254","0.0813","0.38","-18.38","1.0949"
"2086","DVN",128,"Energy",3,"DVN_quarterly_financial_data.xls","devon energy","devon energy corporation","devon energy corp","2015","2015-12-31",441300000,441300000,1,"2.9532e+10","4.026e+09","1.8543e+10","3.295e+09","7.049e+09",3.94e+09,0,5.722e+09,1.2137e+10,"2886000000","-4532000000","-4532000000","-11.07","-11.07",0.24,"1081000000","-1592000000","1046000000","523000000","2.31e+09",1.584e+09,"38.34","48.68","28","None","-0.3859","15.97","1.36","None",8.06,"None","1.7218","0.2387","None","0.35","-1.14","1.2219"
"2093","DVN",128,"Energy",3,"DVN_quarterly_financial_data.xls","devon energy","devon energy corporation","devon energy corp","2016","2016-12-31",524600000,524600000,1,"2.5913e+10","3.772e+09","1.5538e+10","2.616e+09","5.927e+09",4.448e+09,0,5.588e+09,1.0154e+10,"3350000000","331000000","331000000","0.65","0.65",0.06,"536000000","532000000","-1428000000","-426000000","1.959e+09",-5.58e+08,"43.65","50.66","36.64","-0.5737","-0.1216","11.3","3.91","None",8.48,"None","1.7132","0.2287","None","0.45","2.09","1.4419"
"2094","DVN",128,"Energy",3,"DVN_quarterly_financial_data.xls","devon energy","devon energy corporation","devon energy corp","2012","2012-12-31",4.06e+08,4.06e+08,1,"4.3326e+10","8.971e+09","2.2048e+10","6.003e+09","2.1278e+10",0,0,6.079e+09,8.455e+09,"2581000000","-357000000","-357000000","-0.89","-0.89",0.2,"1143000000","-2110000000","274000000","-701000000","4.637e+09",1.926e+09,"56.95","63","50.89","-0.0089","-0.0048","52.41","1.06","35.15",5.3,"None","0.3974","0.4911","None","0.22","-1.93","1.4944"
"2095","DVN",128,"Energy",3,"DVN_quarterly_financial_data.xls","devon energy","devon energy corporation","devon energy corp","2017","2017-12-31",526100000,526100000,1,"3.0241e+10","4.791e+09","1.6137e+10","3.315e+09","9.254e+09",4.85e+09,0,3.88e+09,1.0291e+10,"3973000000","-320000000","-320000000","-0.61","-0.61",0.06,"489000000","-476000000","-115000000","-108000000","2.673e+09",4.69e+08,"38.28","42.6","33.97","0.1207","0.0324","17.59","2.82","12.98",8.72,"0.1405","1.1121","0.306","0.0644","0.5","0.04","1.4452"
